player_id,player_name,n_pairs,r,p
1626174,Christian Wood,3,-0.7152854566181279,0.492593352755367
1626179,Terry Rozier,7,-0.3965981340803066,0.3783908615942459
1626181,Norman Powell,5,-0.5539549075603685,0.3326311999627151
1626192,Pat Connaughton,6,0.09879154504818692,0.8522947737755564
1626196,Josh Richardson,6,-0.6538390739530557,0.1590013005058363
1626204,Larry Nance Jr.,6,-0.12118346560586654,0.8191146173834136
1626220,Royce O'Neale,7,-0.4108498119047792,0.35986417127056636
1626224,Cedi Osman,5,-0.960537972173295,0.009354388722055183
1627732,Ben Simmons,3,-0.011098606956279122,0.9929342623023262
1627734,Domantas Sabonis,7,-0.2680217991395474,0.5611573263386536
1627736,Malik Beasley,6,0.10355803910910483,0.8452182333910758
1627739,Kris Dunn,3,-0.47772059071580747,0.6829262696857009
1627741,Buddy Hield,7,0.052690998793659814,0.9106731037964101
1627742,Brandon Ingram,6,-0.10093591094722293,0.8491103040426649
1627747,Caris LeVert,7,-0.14541254805136777,0.7557415963877774
1627749,Dejounte Murray,5,-0.2868695804151016,0.6398197477665559
1627750,Jamal Murray,5,0.16050249118061222,0.796522716528389
1627751,Jakob Poeltl,5,-0.2763398301599088,0.652684001830523
1627752,Taurean Prince,4,0.09098737503146248,0.9090126249685375
1627759,Jaylen Brown,7,0.5288576670643983,0.22227960710445235
1627763,Malcolm Brogdon,6,-0.4921910302701943,0.32133058785669283
1627777,Georges Niang,3,-0.36344397835915404,0.7632016243918106
1627783,Pascal Siakam,7,0.6848386897406867,0.08958352287227517
1627814,Damion Lee,3,0.9715952695454394,0.15209812284549581
1627826,Ivica Zubac,4,-0.012514155525071846,0.9874858444749282
1627827,Dorian Finney-Smith,6,0.5486692771611987,0.25958122852105914
1627832,Fred VanVleet,7,-0.32588224243121844,0.47566761002765895
1627884,Derrick Jones Jr.,4,-0.3296637133014959,0.6703362866985041
1627936,Alex Caruso,4,-0.4958878160464849,0.5041121839535152
1628366,Lonzo Ball,4,-0.827927161820684,0.17207283817931596
1628368,De'Aaron Fox,7,-0.5022328615628205,0.25071341583635626
1628369,Jayson Tatum,7,0.8521917550798196,0.014873586231140918
1628370,Malik Monk,4,0.7542079593561097,0.24579204064389026
1628373,Frank Ntilikina,3,-0.9998040238342385,0.012603867876977856
1628374,Lauri Markkanen,7,-0.3287956430118405,0.47149492324310555
1628378,Donovan Mitchell,7,0.15827052036116968,0.7346641994095333
1628379,Luke Kennard,7,-0.2671855205932024,0.5624272986371469
1628381,John Collins,7,-0.29531527787598394,0.5202295145376774
1628384,OG Anunoby,6,-0.09710374769953292,0.854802180760518
1628386,Jarrett Allen,7,-0.43681061397681925,0.32711915904133104
1628389,Bam Adebayo,7,0.025676054294405004,0.9564253432498561
1628392,Isaiah Hartenstein,3,0.2642737532368922,0.8297355158696009
1628398,Kyle Kuzma,7,-0.2512971482666357,0.5867265670312038
1628401,Derrick White,6,0.3563336310879779,0.48812204543033166
1628402,Frank Jackson,3,-0.4875415051074006,0.6757875608311691
1628404,Josh Hart,7,-0.11337835809618876,0.8087576451510596
1628415,Dillon Brooks,3,0.3571324689779444,0.7675089421557204
1628467,Maxi Kleber,7,-0.308365804139629,0.501032382379313
1628470,Torrey Craig,6,0.3083011169413974,0.5522002702280409
1628960,Grayson Allen,4,-0.5583258454850729,0.441674154514927
1628969,Mikal Bridges,6,-0.11103808950917096,0.8341273854290949
1628970,Miles Bridges,4,-0.7920798674846783,0.2079201325153217
1628971,Bruce Brown,6,-0.35801075306460256,0.4859272936988467
1628973,Jalen Brunson,6,-0.610146677119334,0.19835237184220536
1628976,Wendell Carter Jr.,6,-0.6295451153403037,0.1804352068997825
1628978,Donte DiVincenzo,5,0.16286644071232262,0.7935524456287475
1628983,Shai Gilgeous-Alexander,6,0.013473389363229712,0.9797911388823026
1628984,Devonte' Graham,3,-0.07144326752658453,0.9544790228970539
1628989,Kevin Huerter,6,0.5338993774652451,0.27524455423238253
1628991,Jaren Jackson Jr.,4,0.9588156417857494,0.041184358214250594
